GAME_ID_HOME,EXPERT_RANK_HOME,EXPERT_RANK_AWAY
21700197,12,9
21700187,12,28
21700175,12,18
21700156,12,20
21700128,12,10
21700115,12,14
21700098,12,19
21700082,12,22
21700036,12,4
21700010,12,8
21701195,1,15
21701153,1,25
21701128,1,13
21701114,1,26
21701102,1,12
21701087,1,29
21701033,1,23
21701019,1,22
21700976,1,5
21700963,1,28
21700887,1,4
21700872,1,11
21700846,1,25
21700831,1,5
21700815,1,19
21700803,1,4
21700728,1,6
21700713,1,9
21700699,1,27
21700613,1,11
21700597,1,8
21700535,1,16
21700528,1,17
21700514,1,12
21700494,1,2
21700489,1,8
21700489,1,8
21700489,1,8
21700489,1,8
21700489,1,8
21700489,1,8
21700489,1,8
21700489,1,8
21700489,1,8
21700489,1,8
21700489,1,8
21700489,1,8
21700489,1,8
21700489,1,8
21700489,1,8
21700489,1,8
21700479,1,22
21700464,1,16
21700417,1,19
21700395,1,14
21700296,1,23
21700284,1,15
21700276,1,30
21700199,1,24
21700184,1,20
21700163,1,9
21700148,1,18
21700091,1,21
21700075,1,7
21700063,1,10
21700002,1,3
21701218,22,3
21701201,22,12
21701190,22,9
21701174,22,5
21701155,22,23
21701136,22,13
21701123,22,19
21701034,22,18
21701015,22,8
21701000,22,2
21700971,22,24
21700956,22,14
21700883,22,19
21700816,22,4
21700804,22,25
21700700,22,6
21700684,22,27
21700673,22,26
21700617,22,5
21700602,22,23
21700590,22,29
21700577,22,17
21700565,22,4
21700529,22,11
21700515,22,16
21700497,22,9
21700491,22,14
21700491,22,14
21700491,22,14
21700491,22,14
21700491,22,14
21700491,22,14
21700491,22,14
21700491,22,14
21700491,22,14
21700491,22,14
21700491,22,14
21700491,22,14
21700491,22,14
21700491,22,14
21700491,22,14
21700491,22,14
21700450,22,1
21700338,22,3
21700312,22,1
21700252,22,30
21700240,22,8
21700227,22,25
21700214,22,20
21700145,22,16
21700130,22,28
21700104,22,21
21700076,22,10
21700064,22,7
21700040,22,15
21700016,22,11
21701194,3,4
21701177,3,14
21701161,3,7
21701132,3,25
21701111,3,30
21701101,3,29
21701091,3,15
21701074,3,21
21701023,3,11
21701001,3,5
21700939,3,6
21700877,3,9
21700860,3,23
21700837,3,19
21700823,3,8
21700748,3,24
21700732,3,25
21700689,3,18
21700679,3,1
21700665,3,9
21700608,3,14
21700566,3,1
21700540,3,22
21700475,3,11
21700459,3,22
21700445,3,12
21700433,3,13
21700428,3,5
21700412,3,17
21700392,3,15
21700308,3,26
21700294,3,28
21700282,3,27
21700259,3,8
21700259,3,8
21700259,3,8
21700259,3,8
21700259,3,8
21700259,3,8
21700259,3,8
21700259,3,8
21700259,3,8
21700259,3,8
21700259,3,8
21700259,3,8
21700259,3,8
21700259,3,8
21700259,3,8
21700259,3,8
21700202,3,10
21700180,3,16
