CURRENT_GAME_ID,GAME_DATE_EST,TEAM_NAME_AWAY,TEAM_NAME_HOME,WIN_HOME,NET_RTG_HOME,NET_RTG_AWAY,WIN_PERCENTAGE_A,WIN_PERCENTAGE_B,DAYS_SINCE_LAST_GAME_A,DAYS_SINCE_LAST_GAME_B
21601211,2017-04-10,Jazz,Warriors,0,0.21622501111002718,0.13746386770974148,0.43556110521473734,0.03128242847922391,-0.009787861713393261,-0.009424387414818039
21601209,2017-04-10,Spurs,Trail Blazers,1,0.1345869179383853,0.02630998479047438,0.2355611052147374,0.16461576181255722,-0.009787861713393261,-0.009424387414818039
21601207,2017-04-10,Hornets,Bucks,1,-0.248919619743004,0.022897202022063717,0.10222777188140408,-0.03538423818744274,-0.009787861713393261,-0.009424387414818039
21601203,2017-04-10,Pacers,76ers,0,-0.1299627965315151,0.022092890533617168,-0.16443889478526258,-0.03538423818744274,-0.009787861713393261,-0.009424387414818039
21601202,2017-04-09,Timberwolves,Lakers,1,0.00971955109946558,-0.08528387091524887,-0.16443889478526258,-0.23538423818744275,-0.009787861713393261,-0.009424387414818039
21601196,2017-04-09,Raptors,Knicks,0,0.014408447465564505,0.023029546297665404,-0.23110556145192923,0.23128242847922387,-0.009787861713393261,-0.009424387414818039
21601197,2017-04-09,Cavaliers,Hawks,1,0.05656637127922814,0.16247177649357314,-0.09777222811859587,0.03128242847922391,-0.009787861713393261,0.0006766226861920632
21601198,2017-04-09,Thunder,Nuggets,0,-0.07245605964209499,-0.16482657945272874,0.10222777188140408,0.16461576181255722,-0.009787861713393261,-0.009424387414818039
21601201,2017-04-09,Pistons,Grizzlies,0,0.10507939343793167,-0.1313460035617177,-0.03110556145192922,-0.1687175715207761,-0.009787861713393261,-0.009424387414818039
21601199,2017-04-09,Mavericks,Suns,1,-0.06401936232989752,-0.1591287690416769,-0.3644388947852626,-0.23538423818744275,-0.009787861713393261,-0.009424387414818039
21601200,2017-04-09,Rockets,Kings,0,-0.23144769476275975,-0.02636446226545037,-0.09777222811859587,0.09794909514589056,-0.009787861713393261,-0.009424387414818039
21601193,2017-04-08,Clippers,Spurs,0,0.1266674412608115,0.1338473930637719,0.2355611052147374,0.16461576181255722,-0.014812987341533966,-0.004373882364312988
21601192,2017-04-08,Heat,Wizards,0,-0.0268764682987136,0.0579690897163627,0.03556110521473743,0.03128242847922391,-0.009787861713393261,-0.014474892465323089
21601195,2017-04-08,Pelicans,Warriors,1,0.142523121177937,0.01584163008984432,0.3688944385480708,0.03128242847922391,-0.0047627360852525585,-0.014474892465323089
21601194,2017-04-08,Jazz,Trail Blazers,1,0.057121625991152114,0.0948629303703899,0.2355611052147374,0.09794909514589056,-0.009787861713393261,-0.014474892465323089
21601189,2017-04-08,Celtics,Hornets,0,-0.10509943984875346,0.10418883848042482,0.03556110521473743,0.16461576181255722,-0.0047627360852525585,-0.009424387414818039
21601190,2017-04-08,Pacers,Magic,0,-0.19644142717077723,-0.10268086428066685,-0.16443889478526258,-0.10205090485410939,-0.009787861713393261,-0.009424387414818039
21601191,2017-04-08,Bucks,76ers,0,-0.1648759812035277,-0.2134287729294865,-0.16443889478526258,0.09794909514589056,-0.009787861713393261,-0.009424387414818039
21601188,2017-04-08,Bulls,Nets,1,0.18738881556914586,0.1504870957132344,0.03556110521473743,0.03128242847922391,-0.009787861713393261,-0.009424387414818039
21601187,2017-04-07,Kings,Lakers,1,-0.084217975856309,0.03823598449424017,-0.23110556145192923,-0.10205090485410939,-0.009787861713393261,-0.004373882364312988
21601179,2017-04-07,Hawks,Cavaliers,0,0.25850912182876146,0.1174325224516002,0.10222777188140408,-0.10205090485410939,-0.009787861713393261,-0.014474892465323089
21601182,2017-04-07,Pistons,Rockets,0,0.029795717921133353,0.09221870117411217,0.10222777188140408,-0.23538423818744275,-0.009787861713393261,-0.009424387414818039
21601183,2017-04-07,Spurs,Mavericks,0,-0.11046502051924027,0.04707338916738659,-0.16443889478526258,0.16461576181255722,-0.009787861713393261,-0.009424387414818039
21601180,2017-04-07,Heat,Raptors,1,-0.043691436799443165,0.16383686563856842,0.16889443854807074,0.09794909514589056,-0.009787861713393261,-0.009424387414818039
21601184,2017-04-07,Pelicans,Nuggets,1,-0.09273563974914714,-0.08127719692645269,0.03556110521473743,0.03128242847922391,-0.009787861713393261,-0.004373882364312988
21601181,2017-04-07,Knicks,Grizzlies,1,-0.07383701112601339,-0.051600839843655245,-0.09777222811859587,-0.23538423818744275,-0.009787861713393261,-0.014474892465323089
