Unnamed: 0,Unnamed: 0.1,CURRENT_GAME_ID,WIN_PERCENTAGE_A,WIN_PERCENTAGE_B
122,0,21701100,0.7333333333333333,0.8666666666666667
123,0,21701101,0.9333333333333332,0.2
124,0,21701102,0.6666666666666666,0.7333333333333333
125,0,21701090,0.2,0.06666666666666668
126,0,21701089,0.26666666666666666,0.26666666666666666
127,0,21701091,0.9333333333333332,0.7333333333333333
128,0,21701092,0.06666666666666668,0.5333333333333333
129,0,21701093,0.26666666666666666,0.4666666666666667
130,0,21701088,0.6666666666666666,0.5333333333333333
131,0,21701082,0.8,0.26666666666666666
132,0,21701078,0.6,0.5333333333333333
133,0,21701081,0.2,0.4666666666666667
134,0,21701079,0.5333333333333333,0.5333333333333333
135,0,21701080,0.5333333333333333,0.06666666666666668
136,0,21701083,0.26666666666666666,0.3333333333333333
137,0,21701084,0.7333333333333333,0.6
138,0,21701085,0.4666666666666667,0.8
