,CURRENT_GAME_ID,DAYS_SINCE_LAST_GAME_A,DAYS_SINCE_LAST_GAME_B
883,21700483,1.0,1.0
899,21700484,1.0,1.0
915,21700486,1.0,1.0
931,21700487,2.0,1.0
947,21700488,2.0,1.0
963,21700489,1.0,1.0
979,21700490,2.0,3.0
995,21700491,1.0,1.0
1011,21700492,3.0,2.0
1027,21700472,2.0,3.0
1028,21700473,2.0,3.0
1029,21700471,2.0,1.0
1030,21700475,2.0,2.0
1031,21700477,2.0,2.0
1032,21700474,2.0,2.0
1033,21700476,3.0,2.0
1034,21700478,2.0,2.0
1035,21700479,2.0,2.0
1036,21700467,2.0,1.0
1037,21700466,2.0,1.0
1038,21700468,3.0,1.0
1039,21700469,1.0,1.0
1040,21700470,1.0,1.0
1041,21700456,2.0,2.0
1042,21700454,2.0,3.0
1043,21700457,3.0,1.0
1044,21700459,2.0,2.0
1045,21700455,2.0,2.0
1046,21700460,2.0,2.0
1047,21700458,2.0,3.0
1048,21700461,2.0,3.0
1049,21700462,2.0,2.0
1050,21700465,2.0,2.0
1051,21700463,2.0,2.0
1052,21700464,2.0,4.0
1053,21700453,3.0,2.0
1054,21700451,1.0,2.0
1055,21700452,2.0,4.0
1056,21700442,1.0,2.0
1057,21700441,2.0,2.0
1058,21700445,2.0,2.0
1059,21700443,3.0,2.0
1060,21700447,2.0,3.0
1061,21700444,3.0,3.0
1062,21700446,2.0,2.0
1063,21700449,2.0,2.0
1064,21700448,2.0,2.0
1065,21700450,4.0,4.0
1066,21700437,2.0,3.0
1067,21700438,2.0,2.0
1068,21700439,2.0,2.0
1069,21700440,2.0,1.0
1070,21700429,1.0,1.0
1071,21700431,2.0,1.0
1072,21700433,1.0,1.0
1073,21700434,2.0,3.0
1074,21700435,1.0,2.0
1075,21700432,1.0,1.0
1076,21700436,1.0,1.0
1077,21700430,2.0,1.0
1078,21700423,2.0,2.0
1079,21700420,2.0,2.0
1080,21700419,2.0,1.0
1081,21700418,2.0,2.0
1082,21700421,3.0,2.0
1083,21700424,2.0,1.0
1084,21700422,2.0,2.0
1085,21700426,2.0,2.0
1086,21700425,2.0,1.0
1087,21700427,2.0,2.0
1088,21700428,2.0,3.0
1089,21700414,2.0,2.0
1090,21700413,2.0,2.0
1091,21700415,2.0,2.0
1092,21700416,2.0,2.0
1093,21700417,3.0,2.0
1094,21700407,2.0,1.0
1095,21700404,3.0,2.0
1096,21700405,4.0,2.0
1097,21700406,1.0,2.0
1098,21700410,2.0,4.0
1099,21700409,2.0,4.0
1100,21700408,2.0,2.0
1101,21700411,1.0,2.0
1102,21700412,2.0,2.0
1103,21700399,2.0,3.0
1104,21700400,3.0,3.0
1105,21700397,3.0,2.0
1106,21700402,2.0,3.0
1107,21700401,2.0,2.0
1108,21700403,2.0,3.0
1109,21700398,2.0,2.0
1110,21700392,2.0,1.0
1111,21700391,2.0,1.0
1112,21700393,2.0,2.0
1113,21700394,2.0,2.0
1114,21700396,2.0,1.0
1115,21700395,3.0,2.0
1116,21700385,2.0,2.0
1117,21700386,2.0,2.0
1118,21700387,2.0,2.0
1119,21700389,2.0,1.0
1120,21700388,4.0,2.0
1121,21700390,1.0,1.0
1122,21700375,3.0,2.0
1123,21700376,2.0,3.0
1124,21700377,1.0,2.0
1125,21700380,1.0,3.0
1126,21700378,3.0,1.0
1127,21700381,1.0,2.0
1128,21700383,2.0,1.0
1129,21700382,1.0,2.0
1130,21700384,4.0,2.0
1131,21700379,1.0,2.0
1132,21700370,2.0,2.0
1133,21700367,2.0,2.0
1134,21700369,2.0,2.0
1135,21700368,2.0,2.0
1136,21700373,2.0,2.0
1137,21700371,2.0,3.0
1138,21700372,2.0,2.0
1139,21700374,2.0,2.0
1140,21700363,3.0,4.0
1141,21700364,2.0,2.0
1142,21700365,3.0,2.0
1143,21700366,2.0,4.0
1144,21700362,3.0,2.0
1145,21700361,2.0,3.0
1146,21700354,2.0,2.0
1147,21700357,2.0,2.0
1148,21700353,2.0,4.0
1149,21700356,2.0,2.0
1150,21700358,2.0,2.0
1151,21700359,2.0,2.0
1152,21700360,2.0,2.0
1153,21700355,2.0,2.0
1154,21700350,4.0,1.0
1155,21700352,3.0,1.0
1156,21700351,2.0,1.0
1157,21700348,1.0,2.0
1158,21700340,3.0,1.0
1159,21700342,2.0,5.0
1160,21700344,3.0,2.0
1161,21700347,2.0,2.0
1162,21700343,2.0,2.0
1163,21700339,3.0,1.0
1164,21700345,2.0,1.0
1165,21700346,2.0,1.0
1166,21700341,2.0,2.0
1167,21700349,3.0,3.0
1168,21700334,4.0,2.0
1169,21700337,2.0,2.0
1170,21700335,2.0,2.0
1171,21700336,2.0,1.0
1172,21700338,1.0,4.0
1173,21700329,2.0,1.0
1174,21700327,3.0,2.0
1175,21700326,2.0,3.0
1176,21700333,2.0,1.0
1177,21700332,2.0,3.0
1178,21700331,2.0,1.0
1179,21700330,2.0,1.0
1180,21700328,3.0,2.0
1181,21700318,2.0,2.0
1182,21700319,2.0,2.0
1183,21700320,2.0,2.0
1184,21700322,1.0,3.0
1185,21700324,2.0,2.0
1186,21700323,2.0,4.0
1187,21700321,2.0,2.0
1188,21700325,1.0,2.0
1189,21700314,3.0,1.0
1190,21700313,5.0,2.0
1191,21700315,2.0,2.0
1192,21700316,3.0,2.0
1193,21700317,3.0,2.0
1194,21700312,2.0,2.0
1195,21700311,2.0,3.0
1196,21700306,2.0,1.0
1197,21700308,2.0,2.0
1198,21700310,2.0,2.0
1199,21700307,4.0,4.0
1200,21700309,4.0,1.0
1201,21700304,2.0,4.0
1202,21700305,2.0,1.0
1203,21700303,2.0,1.0
1204,21700300,2.0,3.0
1205,21700298,1.0,2.0
1206,21700299,2.0,2.0
1207,21700302,1.0,3.0
1208,21700301,3.0,4.0
1209,21700297,2.0,5.0
1210,21700290,2.0,2.0
1211,21700295,2.0,2.0
1212,21700293,2.0,2.0
1213,21700294,2.0,1.0
1214,21700292,2.0,3.0
1215,21700296,2.0,2.0
1216,21700291,2.0,3.0
1217,21700287,2.0,2.0
1218,21700289,2.0,2.0
1219,21700288,2.0,2.0
1220,21700281,1.0,1.0
1221,21700279,3.0,1.0
1222,21700280,1.0,1.0
1223,21700282,3.0,1.0
1224,21700283,3.0,1.0
1225,21700284,1.0,1.0
1226,21700277,1.0,3.0
1227,21700278,3.0,1.0
1228,21700285,3.0,3.0
1229,21700286,3.0,3.0
1230,21700271,4.0,2.0
1231,21700272,2.0,2.0
1232,21700268,2.0,2.0
1233,21700270,2.0,2.0
1234,21700269,2.0,2.0
1235,21700276,2.0,2.0
1236,21700274,2.0,2.0
1237,21700273,2.0,4.0
1238,21700267,2.0,2.0
1239,21700275,2.0,2.0
1240,21700261,2.0,2.0
1256,21700258,2.0,3.0
1272,21700256,2.0,2.0
1288,21700254,2.0,3.0
1304,21700257,3.0,2.0
1320,21700259,4.0,2.0
1336,21700253,2.0,2.0
1352,21700260,2.0,2.0
1368,21700262,2.0,2.0
1384,21700263,2.0,3.0
1400,21700255,2.0,2.0
1416,21700264,3.0,2.0
1432,21700265,2.0,1.0
1448,21700266,2.0,1.0
1464,21700252,2.0,2.0
1465,21700241,2.0,1.0
1466,21700244,2.0,2.0
1467,21700243,2.0,1.0
1468,21700242,1.0,3.0
